section	category	display_name	relative_path	launcher	core
PLAY	CAPCOM CPS I	SF2CE	ROMS/CPS1/sf2ce.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	SF2HF	ROMS/CPS1/sf2hf.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	SFZCH	ROMS/CPS1/sfzch.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	SLAMMAST	ROMS/CPS1/slammast.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	STRIDER	ROMS/CPS1/strider.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	UNSQUAD	ROMS/CPS1/unsquad.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	VARTH	ROMS/CPS1/varth.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	WILLOW	ROMS/CPS1/willow.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	WOFA	ROMS/CPS1/wofa.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS I	WOFJ	ROMS/CPS1/wofj.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	1944	ROMS/CPS2/1944.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	19XX	ROMS/CPS2/19xx.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	ARMWAR	ROMS/CPS2/armwar.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	AVSP	ROMS/CPS2/avsp.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	BATCIR	ROMS/CPS2/batcir.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	CSCLUB	ROMS/CPS2/csclub.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	CYBOTS	ROMS/CPS2/cybots.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	DDSOM	ROMS/CPS2/ddsom.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	DDTOD	ROMS/CPS2/ddtod.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	DIMAHOO	ROMS/CPS2/dimahoo.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	DSTLK	ROMS/CPS2/dstlk.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	ECOFGHTR	ROMS/CPS2/ecofghtr.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	GIGAWING	ROMS/CPS2/gigawing.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	HSF2	ROMS/CPS2/hsf2.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	JYANGOKU	ROMS/CPS2/jyangoku.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	MEGAMAN2	ROMS/CPS2/megaman2.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	MMATRIX	ROMS/CPS2/mmatrix.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	MPANG	ROMS/CPS2/mpang.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	MSH	ROMS/CPS2/msh.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	MSHVSF	ROMS/CPS2/mshvsf.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	MVSC	ROMS/CPS2/mvsc.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	NWARR	ROMS/CPS2/nwarr.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	PZLOOP2	ROMS/CPS2/pzloop2.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	RINGDEST	ROMS/CPS2/ringdest.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	SFA	ROMS/CPS2/sfa.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	SFA2	ROMS/CPS2/sfa2.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	SFA3	ROMS/CPS2/sfa3.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	SFZ2AL	ROMS/CPS2/sfz2al.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	SGEMF	ROMS/CPS2/sgemf.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	SSF2T	ROMS/CPS2/ssf2t.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	VHUNT2	ROMS/CPS2/vhunt2.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	VSAV	ROMS/CPS2/vsav.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	VSAV2	ROMS/CPS2/vsav2.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	XMCOTA	ROMS/CPS2/xmcota.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS II	XMVSF	ROMS/CPS2/xmvsf.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS III	JOJO	ROMS/CPS3/jojo.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS III	JOJOBA	ROMS/CPS3/jojoba.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS III	REDEARTH	ROMS/CPS3/redearth.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS III	SFIII2	ROMS/CPS3/sfiii2.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	CAPCOM CPS III	SFIII3	ROMS/CPS3/sfiii3.zip	RETROARCH	km_fbneo_xtreme_amped_libretro.so
PLAY	DOS	ANOTHER WORLD (1991)(U.S. GOLD LTD.)	ROMS/DOS/Another World (1991)(U.S. Gold Ltd.).zip	RETROARCH	dosbox_pure_libretro.so
PLAY	DREAMCAST	COSMIC SMASH (JAPAN)	ROMS/DREAMCAST/Cosmic Smash (Japan).chd	RETROARCH	flycastvl_libretro.so
PLAY	DREAMCAST	GAUNTLET LEGENDS (USA)	ROMS/DREAMCAST/Gauntlet Legends (USA).chd	RETROARCH	flycastvl_libretro.so
PLAY	DREAMCAST	HOUSE OF THE DEAD 2, THE (USA)	ROMS/DREAMCAST/House of the Dead 2, The (USA).chd	RETROARCH	flycastvl_libretro.so
PLAY	DREAMCAST	IKARUGA (JAPAN)	ROMS/DREAMCAST/Ikaruga (Japan).chd	RETROARCH	flycastvl_libretro.so
PLAY	DREAMCAST	MARVEL VS. CAPCOM 2 - NEW AGE OF HEROES (USA)	ROMS/DREAMCAST/Marvel vs. Capcom 2 - New Age of Heroes (USA).chd	RETROARCH	flycastvl_libretro.so
PLAY	DREAMCAST	POWER STONE (USA)	ROMS/DREAMCAST/Power Stone (USA).chd	RETROARCH	flycastvl_libretro.so
